,調査年 コード,調査年,地域 コード,地域,/項目,A1101_総人口【人】,注釈,distance,travel_time,is_express,is_superexpress,is_bus,is_airplane
703,2015100000,2015年度,41202,佐賀県 唐津市,,"122,785",,1116.4,319.0,False,False,False,True
605,2015100000,2015年度,33214,岡山県 真庭市,,"46,124",,804.3,318.0,False,False,True,True
617,2015100000,2015年度,34211,広島県 大竹市,,"27,865",,928.2,318.0,False,True,False,False
664,2015100000,2015年度,39203,高知県 安芸市,,"17,577",,901.8,318.0,False,False,True,True
77,2015100000,2015年度,5206,秋田県 男鹿市,,"28,375",,700.6,317.0,False,True,False,False
597,2015100000,2015年度,33205,岡山県 笠岡市,,"50,568",,816.2,317.0,False,True,True,False
632,2015100000,2015年度,35213,山口県 美祢市,,"26,159",,1003.9,317.0,False,False,True,True
707,2015100000,2015年度,41206,佐賀県 武雄市,,"49,062",,1146.6,317.0,True,False,False,True
14,2015100000,2015年度,1215,北海道 美唄市,,"23,035",,1019.4,316.0,True,False,False,True
25,2015100000,2015年度,1226,北海道 砂川市,,"17,694",,1036.9,316.0,True,False,False,True
754,2015100000,2015年度,45202,宮崎県 都城市,,"165,029",,1180.2,315.0,True,False,True,True
50,2015100000,2015年度,3207,岩手県 久慈市,,"35,642",,705.3,314.0,False,True,False,False
390,2015100000,2015年度,21217,岐阜県 飛騨市,,"24,696",,472.3,314.0,True,True,False,False
736,2015100000,2015年度,43214,熊本県 阿蘇市,,"27,018",,1143.6,314.0,False,False,True,True
463,2015100000,2015年度,24209,三重県 尾鷲市,,"18,009",,544.0,313.0,True,True,False,False
732,2015100000,2015年度,43210,熊本県 菊池市,,"48,167",,1132.0,313.0,False,False,True,True
735,2015100000,2015年度,43213,熊本県 宇城市,,"59,756",,1143.8,313.0,False,False,True,True
767,2015100000,2015年度,46210,鹿児島県 指宿市,,"41,831",,1221.2,313.0,False,False,True,True
781,2015100000,2015年度,47201,沖縄県 那覇市,,"319,435",,1718.1,313.0,False,False,True,True
551,2015100000,2015年度,28221,兵庫県 丹波篠山市,,"41,490",,635.9,312.0,True,True,True,False
702,2015100000,2015年度,41201,佐賀県 佐賀市,,"236,372",,1116.9,312.0,False,False,True,True
33,2015100000,2015年度,1235,北海道 石狩市,,"57,436",,977.0,311.0,False,False,True,True
723,2015100000,2015年度,42213,長崎県 雲仙市,,"44,115",,1197.5,311.0,False,False,True,True
8,2015100000,2015年度,1209,北海道 夕張市,,"8,843",,982.3,310.0,True,False,True,True
51,2015100000,2015年度,3208,岩手県 遠野市,,"28,062",,629.8,310.0,False,True,False,False
80,2015100000,2015年度,5210,秋田県 由利本荘市,,"79,927",,705.9,309.0,False,True,False,False
755,2015100000,2015年度,45203,宮崎県 延岡市,,"125,159",,1135.0,309.0,True,False,False,True
62,2015100000,2015年度,4205,宮城県 気仙沼市,,"64,988",,512.7,306.0,False,True,False,False
42,2015100000,2015年度,2208,青森県 むつ市,,"58,493",,749.2,305.0,False,True,True,False
540,2015100000,2015年度,28209,兵庫県 豊岡市,,"82,250",,671.8,305.0,True,True,False,False
598,2015100000,2015年度,33207,岡山県 井原市,,"41,390",,931.3,305.0,False,True,False,False
678,2015100000,2015年度,40205,福岡県 飯塚市,,"129,146",,1099.9,305.0,False,False,False,True
601,2015100000,2015年度,33210,岡山県 新見市,,"30,658",,815.2,304.0,True,True,False,False
609,2015100000,2015年度,34202,広島県 呉市,,"228,552",,921.5,304.0,False,True,False,False
709,2015100000,2015年度,41208,佐賀県 小城市,,"44,259",,1130.2,304.0,True,False,False,True
38,2015100000,2015年度,2204,青森県 黒石市,,"34,284",,765.4,303.0,False,True,False,False
671,2015100000,2015年度,39211,高知県 香南市,,"32,961",,882.5,303.0,False,False,True,True
733,2015100000,2015年度,43211,熊本県 宇土市,,"37,026",,1139.3,303.0,False,False,True,True
756,2015100000,2015年度,45204,宮崎県 日南市,,"54,090",,1090.8,303.0,False,False,True,True
337,2015100000,2015年度,18206,福井県 勝山市,,"24,125",,574.8,302.0,True,True,False,False
682,2015100000,2015年度,40211,福岡県 筑後市,,"48,339",,1119.1,302.0,False,True,False,True
566,2015100000,2015年度,29207,奈良県 五條市,,"30,997",,601.0,301.0,True,True,False,False
650,2015100000,2015年度,37208,香川県 三豊市,,"65,524",,783.1,301.0,False,False,True,True
7,2015100000,2015年度,1208,北海道 北見市,,"121,226",,1209.7,299.0,False,False,True,True
653,2015100000,2015年度,38203,愛媛県 宇和島市,,"77,465",,982.9,298.0,True,False,True,True
348,2015100000,2015年度,19208,山梨県 南アルプス市,,"70,828",,156.5,297.0,True,False,True,False
648,2015100000,2015年度,37206,香川県 さぬき市,,"50,272",,765.6,297.0,False,False,True,True
711,2015100000,2015年度,41210,佐賀県 神埼市,,"31,842",,1109.3,297.0,True,False,False,True
9,2015100000,2015年度,1210,北海道 岩見沢市,,"84,499",,990.6,295.0,False,False,False,True
536,2015100000,2015年度,28205,兵庫県 洲本市,,"44,258",,664.6,295.0,False,True,True,False
557,2015100000,2015年度,28227,兵庫県 宍粟市,,"37,773",,675.5,294.0,False,True,True,False
633,2015100000,2015年度,35215,山口県 周南市,,"144,842",,984.5,294.0,False,True,False,False
760,2015100000,2015年度,45208,宮崎県 西都市,,"30,683",,1074.4,294.0,True,False,True,True
554,2015100000,2015年度,28224,兵庫県 南あわじ市,,"46,912",,677.5,293.0,False,True,True,False
659,2015100000,2015年度,38213,愛媛県 四国中央市,,"87,413",,804.7,293.0,False,False,True,True
672,2015100000,2015年度,39212,高知県 香美市,,"27,513",,891.8,293.0,False,False,True,True
738,2015100000,2015年度,43216,熊本県 合志市,,"58,370",,1124.4,293.0,False,False,True,True
88,2015100000,2015年度,6203,山形県 鶴岡市,,"129,652",,489.9,292.0,True,True,True,False
97,2015100000,2015年度,6212,山形県 尾花沢市,,"16,953",,407.7,292.0,False,True,True,False
466,2015100000,2015年度,24212,三重県 熊野市,,"17,322",,574.5,292.0,True,True,False,False
602,2015100000,2015年度,33211,岡山県 備前市,,"35,179",,767.2,292.0,False,True,False,False
622,2015100000,2015年度,35201,山口県 下関市,,"268,517",,1155.1,292.0,False,True,True,True
673,2015100000,2015年度,40100,福岡県 北九州市,,"961,286",,1137.9,292.0,False,True,False,True
687,2015100000,2015年度,40216,福岡県 小郡市,,"57,983",,1095.9,292.0,False,False,False,True
691,2015100000,2015年度,40220,福岡県 宗像市,,"96,516",,1094.4,292.0,False,False,False,True
579,2015100000,2015年度,30208,和歌山県 紀の川市,,"62,616",,622.4,291.0,True,True,True,False
690,2015100000,2015年度,40219,福岡県 大野城市,,"99,525",,1081.1,291.0,False,False,False,True
726,2015100000,2015年度,43202,熊本県 八代市,,"127,472",,1167.6,291.0,False,False,True,True
2,2015100000,2015年度,1203,北海道 小樽市,,"121,924",,995.2,290.0,False,False,False,True
81,2015100000,2015年度,5211,秋田県 潟上市,,"33,083",,678.0,290.0,False,True,True,False
649,2015100000,2015年度,37207,香川県 東かがわ市,,"31,031",,790.9,290.0,True,False,True,True
555,2015100000,2015年度,28225,兵庫県 朝来市,,"30,805",,634.3,289.0,True,True,False,False
676,2015100000,2015年度,40203,福岡県 久留米市,,"304,552",,1105.2,289.0,False,False,False,True
41,2015100000,2015年度,2207,青森県 三沢市,,"40,196",,659.0,288.0,False,True,True,False
78,2015100000,2015年度,5207,秋田県 湯沢市,,"46,613",,647.4,288.0,False,True,False,False
748,2015100000,2015年度,44210,大分県 杵築市,,"30,185",,992.4,287.0,False,False,True,True
76,2015100000,2015年度,5204,秋田県 大館市,,"74,175",,659.5,286.0,False,True,True,False
574,2015100000,2015年度,30203,和歌山県 橋本市,,"63,621",,605.4,286.0,False,True,False,False
577,2015100000,2015年度,30206,和歌山県 田辺市,,"74,770",,673.7,286.0,False,False,True,True
694,2015100000,2015年度,40224,福岡県 福津市,,"58,781",,1090.8,286.0,False,False,True,True
725,2015100000,2015年度,43100,熊本県 熊本市,,"740,822",,1130.6,285.0,False,False,True,True
737,2015100000,2015年度,43215,熊本県 天草市,,"82,739",,1232.3,285.0,False,False,True,True
608,2015100000,2015年度,34100,広島県 広島市,,"1,194,034",,899.3,283.0,False,True,False,False
604,2015100000,2015年度,33213,岡山県 赤磐市,,"43,214",,752.6,282.0,False,True,True,False
779,2015100000,2015年度,46224,鹿児島県 伊佐市,,"26,810",,1179.9,282.0,False,False,True,True
4,2015100000,2015年度,1205,北海道 室蘭市,,"88,564",,1010.2,281.0,True,False,False,True
341,2015100000,2015年度,18210,福井県 坂井市,,"90,280",,561.3,281.0,True,True,True,False
596,2015100000,2015年度,33204,岡山県 玉野市,,"60,736",,759.3,281.0,False,True,False,False
619,2015100000,2015年度,34213,広島県 廿日市市,,"114,906",,912.1,281.0,False,True,False,False
359,2015100000,2015年度,20205,長野県 飯田市,,"101,581",,496.2,280.0,False,True,True,False
770,2015100000,2015年度,46215,鹿児島県 薩摩川内市,,"96,076",,1213.1,280.0,False,True,True,True
485,2015100000,2015年度,26202,京都府 舞鶴市,,"83,990",,617.5,279.0,True,True,False,False
16,2015100000,2015年度,1217,北海道 江別市,,"120,636",,971.1,278.0,False,False,False,True
512,2015100000,2015年度,27214,大阪府 富田林市,,"113,984",,594.5,278.0,False,True,True,False
583,2015100000,2015年度,31203,鳥取県 倉吉市,,"49,044",,869.6,278.0,True,False,True,True
603,2015100000,2015年度,33212,岡山県 瀬戸内市,,"36,975",,761.4,278.0,False,True,True,False
647,2015100000,2015年度,37205,香川県 観音寺市,,"59,409",,792.7,278.0,True,False,True,True
36,2015100000,2015年度,2202,青森県 弘前市,,"177,411",,750.7,277.0,False,True,True,False
488,2015100000,2015年度,26205,京都府 宮津市,,"18,426",,685.9,277.0,False,True,True,False
550,2015100000,2015年度,28220,兵庫県 加西市,,"44,313",,672.1,277.0,False,True,True,False
753,2015100000,2015年度,45201,宮崎県 宮崎市,,"401,138",,1054.5,277.0,True,False,False,True
29,2015100000,2015年度,1230,北海道 登別市,,"49,625",,993.7,276.0,True,False,False,True
563,2015100000,2015年度,29204,奈良県 天理市,,"67,398",,570.2,276.0,True,True,False,False
626,2015100000,2015年度,35206,山口県 防府市,,"115,942",,998.4,276.0,False,False,True,True
468,2015100000,2015年度,24215,三重県 志摩市,,"50,341",,505.1,274.0,True,True,False,False
44,2015100000,2015年度,2210,青森県 平川市,,"32,106",,755.4,273.0,False,True,False,False
484,2015100000,2015年度,26201,京都府 福知山市,,"78,935",,603.6,273.0,True,True,False,False
335,2015100000,2015年度,18204,福井県 小浜市,,"29,670",,606.5,272.0,False,True,True,False
