"表題：","都道府県・市区町村のすがた（社会・人口統計体系）"
"公開日：","2022年06月21日"

"***","調査又は集計していないもの"
"-","データが得られないもの"
"X","数値が秘匿されているもの"

"","","","","/項目 コード","A1101",""
調査年 コード,調査年,"地域 コード","地域",/項目,"A1101_総人口【人】","注釈"
"2015100000","2015年度","11219","埼玉県 上尾市","","225,196",""
"2015100000","2015年度","11221","埼玉県 草加市","","247,034",""
"2015100000","2015年度","11222","埼玉県 越谷市","","337,498",""
"2015100000","2015年度","11223","埼玉県 蕨市","","72,260",""
"2015100000","2015年度","11224","埼玉県 戸田市","","136,150",""
"2015100000","2015年度","11225","埼玉県 入間市","","148,390",""
"2015100000","2015年度","11227","埼玉県 朝霞市","","136,299",""
"2015100000","2015年度","11228","埼玉県 志木市","","72,676",""
"2015100000","2015年度","11229","埼玉県 和光市","","80,826",""
"2015100000","2015年度","11230","埼玉県 新座市","","162,122",""
"2015100000","2015年度","11231","埼玉県 桶川市","","73,936",""
"2015100000","2015年度","11232","埼玉県 久喜市","","152,311",""
"2015100000","2015年度","11233","埼玉県 北本市","","67,409",""
"2015100000","2015年度","11234","埼玉県 八潮市","","86,717",""
"2015100000","2015年度","11235","埼玉県 富士見市","","108,102",""
"2015100000","2015年度","11237","埼玉県 三郷市","","136,521",""
"2015100000","2015年度","11238","埼玉県 蓮田市","","62,380",""
"2015100000","2015年度","11239","埼玉県 坂戸市","","101,679",""
"2015100000","2015年度","11240","埼玉県 幸手市","","52,524",""
"2015100000","2015年度","11241","埼玉県 鶴ヶ島市","","70,255",""
"2015100000","2015年度","11242","埼玉県 日高市","","56,520",""
"2015100000","2015年度","11243","埼玉県 吉川市","","69,738",""
"2015100000","2015年度","11245","埼玉県 ふじみ野市","","110,970",""
"2015100000","2015年度","11246","埼玉県 白岡市","","51,535",""
"2015100000","2015年度","12100","千葉県 千葉市","","971,882",""
"2015100000","2015年度","12202","千葉県 銚子市","","64,415",""
"2015100000","2015年度","12203","千葉県 市川市","","481,732",""
"2015100000","2015年度","12204","千葉県 船橋市","","622,890",""
"2015100000","2015年度","12205","千葉県 館山市","","47,464",""
"2015100000","2015年度","12206","千葉県 木更津市","","134,141",""
"2015100000","2015年度","12207","千葉県 松戸市","","483,480",""
"2015100000","2015年度","12208","千葉県 野田市","","153,583",""
"2015100000","2015年度","12210","千葉県 茂原市","","89,688",""
"2015100000","2015年度","12211","千葉県 成田市","","131,190",""
"2015100000","2015年度","12212","千葉県 佐倉市","","172,739",""
"2015100000","2015年度","12213","千葉県 東金市","","60,652",""
"2015100000","2015年度","12215","千葉県 旭市","","66,586",""
"2015100000","2015年度","12216","千葉県 習志野市","","167,909",""
"2015100000","2015年度","12217","千葉県 柏市","","413,954",""
"2015100000","2015年度","12218","千葉県 勝浦市","","19,248",""
"2015100000","2015年度","12219","千葉県 市原市","","274,656",""
"2015100000","2015年度","12220","千葉県 流山市","","174,373",""
"2015100000","2015年度","12221","千葉県 八千代市","","193,152",""
"2015100000","2015年度","12222","千葉県 我孫子市","","131,606",""
"2015100000","2015年度","12223","千葉県 鴨川市","","33,932",""
"2015100000","2015年度","12224","千葉県 鎌ケ谷市","","108,917",""
"2015100000","2015年度","12225","千葉県 君津市","","86,033",""
"2015100000","2015年度","12226","千葉県 富津市","","45,601",""
"2015100000","2015年度","12227","千葉県 浦安市","","164,024",""
"2015100000","2015年度","12228","千葉県 四街道市","","89,245",""
"2015100000","2015年度","12229","千葉県 袖ケ浦市","","60,952",""
"2015100000","2015年度","12230","千葉県 八街市","","70,734",""
"2015100000","2015年度","12231","千葉県 印西市","","92,670",""
"2015100000","2015年度","12232","千葉県 白井市","","61,674",""
"2015100000","2015年度","12233","千葉県 富里市","","49,636",""
"2015100000","2015年度","12234","千葉県 南房総市","","39,033",""
"2015100000","2015年度","12235","千葉県 匝瑳市","","37,261",""
"2015100000","2015年度","12236","千葉県 香取市","","77,499",""
"2015100000","2015年度","12237","千葉県 山武市","","52,222",""
"2015100000","2015年度","12238","千葉県 いすみ市","","38,594",""
"2015100000","2015年度","12239","千葉県 大網白里市","","49,184",""
"2015100000","2015年度","13201","東京都 八王子市","","577,513",""
"2015100000","2015年度","13202","東京都 立川市","","176,295",""
"2015100000","2015年度","13203","東京都 武蔵野市","","144,730",""
"2015100000","2015年度","13204","東京都 三鷹市","","186,936",""
"2015100000","2015年度","13205","東京都 青梅市","","137,381",""
"2015100000","2015年度","13206","東京都 府中市","","260,274",""
"2015100000","2015年度","13207","東京都 昭島市","","111,539",""
"2015100000","2015年度","13208","東京都 調布市","","229,061",""
"2015100000","2015年度","13209","東京都 町田市","","432,348",""
"2015100000","2015年度","13210","東京都 小金井市","","121,396",""
"2015100000","2015年度","13211","東京都 小平市","","190,005",""
"2015100000","2015年度","13212","東京都 日野市","","186,283",""
"2015100000","2015年度","13213","東京都 東村山市","","149,956",""
"2015100000","2015年度","13214","東京都 国分寺市","","122,742",""
"2015100000","2015年度","13215","東京都 国立市","","73,655",""
"2015100000","2015年度","13218","東京都 福生市","","58,395",""
"2015100000","2015年度","13219","東京都 狛江市","","80,249",""
"2015100000","2015年度","13220","東京都 東大和市","","85,157",""
"2015100000","2015年度","13221","東京都 清瀬市","","74,864",""
"2015100000","2015年度","13222","東京都 東久留米市","","116,632",""
"2015100000","2015年度","13223","東京都 武蔵村山市","","71,229",""
"2015100000","2015年度","13224","東京都 多摩市","","146,631",""
"2015100000","2015年度","13225","東京都 稲城市","","87,636",""
"2015100000","2015年度","13227","東京都 羽村市","","55,833",""
"2015100000","2015年度","13228","東京都 あきる野市","","80,954",""
"2015100000","2015年度","13229","東京都 西東京市","","200,012",""
"2015100000","2015年度","14100","神奈川県 横浜市","","3,724,844",""
"2015100000","2015年度","14130","神奈川県 川崎市","","1,475,213",""
"2015100000","2015年度","14150","神奈川県 相模原市","","720,780",""
